source_sentence,simplified_sentence,sentence_id
"PERSON@1 -LRB- born November NUMBER@1 , NUMBER@2 -RRB- is an American actress , film director , producer , and occasional singer .","PERSON@1 -LRB- born November NUMBER@1 , NUMBER@2 -RRB- is an American actress , director and producer .",82
"After obtaining a commitment from Robinson to '' turn the other cheek '' to racial antagonism , Rickey agreed to sign him to a contract for $ 600 a month , equal to $ today .","After receiving a vow from Robinson to '' turn the other cheek '' to racial taunts , Rickey agreed to sign him to a contract for $ 600 a month .",84
"The biggest income difference was between those with some college education and those who had a Bachelor 's degree , with the latter making $ NUMBER@1 more annually .","The biggest income difference was between those with some college education and those who had a Bachelor 's degree , with the latter making $ NUMBER@1 more .",85
Star Wars Episode II : Attack of the Clones is a NUMBER@1 space opera film directed by PERSON@1 and written by PERSON@2 and PERSON@3 .,Star Wars Episode II : Attack of the Clones was a movie released in NUMBER@1 .,86
The Jews are expelled from Paris by Philip II of France .,Jews expelled from Paris by Philip II of France .,87
"Famous as an organist in his day , he composed almost exclusively for the Church of England .",His music was almost all composed for the Church of England .,89
"PERSON@1 , the most notable music theorist of the Middle Ages and inventor of modern music notation , was born there around the year NUMBER@1 .","Notable people from LOCATION@1 PERSON@1 , the most notable music theorist of the Middle Ages and inventor of modern music notation , was born there around the year NUMBER@1 .",90
"It was discovered by Matthew J. Holman , John J. Kavelaars , Dan Milisavljevic , and Brett J. Gladman on August 13 , 2001 , and given the provisional designation S\/2001 U 2 .","It was found by Matthew J. Holman , John J. Kavelaars , Dan Milisavljevic , and Brett J. Gladman on August 13 , 2001 and given the designation S\/2001 U 2 .",93
"At Christmas , ORGANIZATION@1 used to host a German market in the city centre selling quality German-made wooden goods , and German food .","At Christmas , ORGANIZATION@1 has a German market in the city centre selling German-made wooden goods , and German food .",94
"The group released a six-track EP , Pick Up the Pace , in 2005 and performed a short tour around Australia .",The Predators made an EP called Pick Up the Pace .,97
"HMAS Ararat -LRB- K NUMBER@1 -RRB- , a Bathurst class corvette , and HMAS Ararat -LRB- ACPB NUMBER@2 -RRB- , an Armidale class patrol boat .","HMAS Ararat -LRB- K NUMBER@1 -RRB- , a World War II Bathurst class corvette , and HMAS Ararat -LRB- ACPB NUMBER@2 -RRB- , an Armidale class patrol boat .",99
'' The story is very simpleâ '' I 'm not sure you can call it a complete story evenâ '' It is about how people create ideas\/stories\/fictions \/O/ social realities and communicate them or impose them on others .,'' The story is very simple - I 'm not sure you can call it a complete story even - It is about how people create ideas\/stories\/fictions \/O/ social realities and communicate them or impose them on others .,100
"However , in the last six years it has seen many successes in parliamentary lobbying .",In the last few years it was successful in parliamentary lobbying .,101
LOCATION@1 or LOCATION@2 -LRB- ; ; ; ; -RRB- is the southernmost canton of LOCATION@3 .,LOCATION@1 or LOCATION@2 -LRB- -LSB- -RSB- ; French and German : Tessin -LSB- -RSB- and -LSB- -RSB- -RRB- is the southernmost canton of LOCATION@3 .,103
"ORGANIZATION@1 -LRB- commonly referred to as ORGANIZATION@2 -RRB- is an American public research university in LOCATION@1 , LOCATION@2 , in the LOCATION@3 , with its main campus at LOCATION@4 .","ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- is a public research university in LOCATION@1 , LOCATION@2 in the LOCATION@3 .",104
They are waiting for the others at the train platform when the accident happens .,They are waiting for the others on the train platform when an accident happens .,106
"Ezekiel Hart -LRB- May 15 , 1767 â '' September 16 , 1843 -RRB- was a Jewish Canadian entrepreneur and politician , and the first Jew to be elected to public office in the British Empire .","Ezekiel Hart -LRB- -- -- '' in Hebrew ; May 15 , 1770 - September 16 , 1843 -RRB- was a Jewish Canadian businessman and politician , and the first Jew to be elected to public office in the British Empire .",107
"The severe PERSON@1 west front was also rebuilt by PERSON@2 -- although how is uncertain , it was very costly but its ` rapid ' weathering and later alterations have erased all but fragments .",It was very costly but its rapid weathering and later alterations have removed all but fragments .,108
"PERSON@1 then begged for forgiveness , in which PERSON@2 eventually accepted .","PERSON@1 then begged for forgiveness , and PERSON@2 forgave him .",109
"'' Yellow '' was written in a LOCATION@1 studio in LOCATION@2 called the Quadrangle , where PERSON@1 began working on their debut album , Parachutes .","The studio is called the Quadrangle . It is where PERSON@1 began working on their first album , Parachutes .",110
"After a career in foreign exchange Key entered the LOCATION@1 House of Representatives in NUMBER@1 representing the LOCATION@2 constituency of LOCATION@3 , a seat that he has held since then .","PERSON@1 entered the LOCATION@1 Parliament in NUMBER@1 representing the north-west LOCATION@2 area of LOCATION@3 as a National MP , a seat that he still holds .",111
"Launched at 18:00 on 16 August 2002 , it had been codenamed Network X during the consulation period and is the sister station to BBC Radio 1 .","The station was launched at 6pm on August 16 , 2002 . It was called Network X during the planning period .",112
"The female equivalent title Maharani -LRB- or Maharanee -RRB- denotes either the wife of a Mah r ja or , in states where that was customary , a woman ruling in her own right .",The word Mah r ja -LRB- also spelled maharajah -RRB- is Sanskrit for '' great king '' or '' high king '' .,114
"However , the LOCATION@1 government is unsure how to execute him ; an electric chair , a gas chamber , a firing squad , and hanging are all tried none of which work .","However , the LOCATION@1 government is unsure how to execute him ; an electric chair , a gas chamber , a firing squad , and hanging are all tried -- none of which work .",116
a The sacrifice fly -LRB- SF -RRB- as a unique statistical category did not exist in ORGANIZATION@1 from NUMBER@1 through NUMBER@2 .,-LRB- \* -RRB- Note : The sacrifice fly -LRB- SF -RRB- as its own category did not exist in ORGANIZATION@1 from NUMBER@1 through NUMBER@2 .,117
Adonis is believed to measure approximately NUMBER@1 km in diameter .,Adonis is thought to measure about NUMBER@1 km in diameter .,118
A solar wind of plasma particles constantly streams outward from the Sun until it reaches the heliopause .,A stream of charged particles called the Solar wind is constantly being sent off from the Sun .,119
"Unfortunately , before arriving at Dubrovnik he fell and hurt his hand and was forced to spend two days in a tent .","However , he fell and hurt his hand during the journey .",122
"Screaming Life is the debut EP by the American grunge band Soundgarden , released in October 1987 through Sub Pop Records .","Screaming Life is the debut EP by the Seattle grunge band Soundgarden , released in October 1987 on Sub Pop Records .",124
"PERSON@1 led its debut concert in NUMBER@1 , but he was rejected as the orchestra 's principal conductor , following his attempts to take control of the orchestra and change its name .","The conductor PERSON@1 led their first concert in NUMBER@1 , but PERSON@2 had always organized his own orchestras and he wanted to organize this one .",125
The Empire was permanently divided into the Eastern Roman Empire -LRB- later known as the Byzantine Empire -RRB- and the Western Roman Empire in 395 .,"A century later , in 395 AD , it was permanently split into the Western Roman Empire and the Eastern Roman Empire .",126
"Waset -LRB- ancient LOCATION@1 or contemporary LOCATION@2 -RRB- was in the LOCATION@3 , LOCATION@4 in the Fourteenth , and LOCATION@5 in the Twenty-first .","Waset -LRB- ancient LOCATION@1 or contemporary LOCATION@2 -RRB- was in the LOCATION@3 , LOCATION@4 in the Fourteenth , and LOCATION@5 in the Twenty-First .",127
The United States has around 200 people who service the US Air Force facilities on the island and at Wideawake Airfield .,"On the island is Wideawake Airfield , which run by the Royal Air Force and the United States Air Force .",129
Survivor : All-Stars is the eighth season of the LOCATION@1 reality show Survivor .,Survivor : All-Stars was the eighth season of the American reality show Survivor .,131
Kolding is a Danish seaport located at the head of Kolding Fjord in Region Syddanmark -LRB- Region of Southern Denmark -RRB- .,Kolding is a Danish seaport found at the head of Kolding Fjord in Region Syddanmark -LRB- Region of Southern Denmark -RRB- .,134
"So he moved to Lutheran Saxe-Coburg-Gotha with his future 3rd wife PERSON@1 , where he lived the last NUMBER@1 years of his life in LOCATION@1 .","He moved to PERSON@2 with his future 3rd wife PERSON@1 , where he lived the last NUMBER@1 years of his life in LOCATION@1 .",135
Chambonas is a commune in the ArdÃ che department in southern LOCATION@1 .,"Chambonas is a town and commune of the ArdÃ che dÃ partement , in the southern part of LOCATION@1 .",137
"PERSON@1 , the protagonist , flies on him and Dumbo splashes enemies with water from his trunk .","PERSON@1 , the main character , flies on him and Dumbo splashes enemies with water from his trunk .",138
The first two players to finish would race down a flying fox into the ocean and retrieve a combination lock box containing another flag .,The first two players to finish would race i the ocean and find a combination lock box with another flag .,139
"Tank , is a district in the LOCATION@1 province of LOCATION@2 , the city of Tank is the capital of the district .",ORGANIZATION@1 is a district in the LOCATION@3 of LOCATION@2 . The city of Tank is the capital .,140
"Of the 1,112 pages , over 900 contained recipes , such that another popular name for the volume is Mrs Beeton 's Cookbook .","The book had 1,112 pages , and over 900 of the pages were recipes . Because many of the pages were recipes , it became known as Mrs Beeton 's Cookbook .",141
"That man considers her as his daughter , lover , mother , and above all these , as a Goddess .","That man considers her as his daughter , lover , mother , and above all these as a Goddess .",142
"PleÅ oi is a commune in Dolj County , Romania with a population of 3,800 people .","PleÅ oi is a commune found in Dolj County , Romania .",143
The village of LOCATION@1 was gazetted in NUMBER@1 and was declared a town in NUMBER@2 .,The village of LOCATION@1 was officially listed in NUMBER@1 and was made a town in NUMBER@2 .,145
The Miracle is a NUMBER@1 album by British rock band Queen .,The Miracle is a NUMBER@1 album by English rock band Queen .,146
Saint Lucia is also one of the few islands in the world that boasts a drive-in volcano .,Saint Lucia is also one of the few islands in the world that has a volcano that people can drive into .,149
"All rhinoceros species have NUMBER@1 chromosomes -LRB- diploid number , NUMBER@2 , per cell -RRB- , except the ORGANIZATION@1 , which has NUMBER@3 .",The two species in LOCATION@1 are the LOCATION@2 and the Black Rhinoceros .,150
She would later charge Rembrandt with breach of promise and was awarded alimony of 200 guilders a year .,She later charged Rembrandt with breach of promise and was awarded 200 guilders a year .,153
"In Star Fox : Assault , his voice was done by Jim Walker in the English release and by Kenji Nojima in the Japanese release .","In Star Fox : Assault and Super Smash Bros. . Brawl , his voice was done by Jim Walker in the English version and by Kenji Nojima in the Japanese version .",154
"They include many of the major figures , such as Odin , Frigg , Thor , Baldr and Tyr .",The Æsir are the main gods of Norse mythology .,155
"Consequently , despite the Ten Commandments not being explicitly mentioned in the Qur ` an they are substantially similar to the following verses in the Qur ` an -LRB- using Jewish numbering of the Commandments -RRB- :",The Ten Commandments are not explicitly mentioned in the Qur ` an but each is implied by the following verses in the Quran -LRB- using Jewish numbering -RRB- :,156
"Anthony '' Tony '' Chimel -LRB- born October 11 , 1961 -RRB- is an American professional wrestling ring announcer , currently employed by World Wrestling Entertainment -LRB- WWE -RRB- working as the ring announcer for SmackDown brand .","Anthony -LRB- Tony -RRB- Chimel -LRB- born October 11 , 1967 -RRB- is an American professional wrestling ring announcer . He currently works for the SmackDown , Superstars and NXT brands as a ring announcer .",158
"Speech may become slurred , nasal in character , or quieter .",Speech becomes hard to understand and slurred .,159
"PERSON@1 and PERSON@2 investigate , convinced that PERSON@3 has been framed .",PERSON@1 and PERSON@2 looked for clues and that PERSON@3 has been .,161
"PERSON@1 -LRB- born July NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is an Italian Formula One racing driver .","PERSON@1 -LRB- born July NUMBER@1 , NUMBER@2 in LOCATION@1 , LOCATION@2 -RRB- is an Italian Formula One auto racing driver .",162
"In law , a verdict is the formal finding of fact made by a jury on matters or questions submitted to the jury by a judge .",A verdict is a term in law . It is the formal finding of a fact by a jury of a court .,163
"Microsoft spent over US$ 100 million per year on Internet Explorer in the late 1990s , with over 1000 people working on it by 1999 .","Microsoft spent over $ 100 million per year on IE in the late 1990s , with over 1000 people working on it by 1999 .",167
Ichthyophis is also found in South China and North Vietnam .,Ichthyophis is also found in South China and North-Vietnam .,168
One important industry that is located here is that of petroleum refinery .,One important industry that is located here is that of petroleumrefinery .,170
"Later , he set about designing and then patenting different types of tray : a metal tray with rubber separators , a metal tray with individual rubber cups , and a tray made completely of rubber .","Later , he made and patented several kinds of tray : a metal tray with rubber separators , a metal tray with individual rubber cups , and a tray made of only rubber .",172
"Salvador Ballesta Vialco , aka Salva -LRB- born 22 May 1975 -RRB- is a retired Spanish footballer who played as a striker .",Salva Ballesta -LRB- born 22 May 1975 -RRB- is a Spanish football player .,173
"According to a study by ORGANIZATION@1 , the Citrus Bowl 's record-breaking attendance pumped an estimated $ NUMBER@1 million -- surpassing the projected $ NUMBER@2 million -- into the local economy and generated $ NUMBER@3 million in local tax revenue .","The record-breaking Citrus Bowl attendance record of NUMBER@4 consisting of people from twenty-one countries , all fifty states , and five Canadian provinces , pumped an estimated $ NUMBER@5 million into the local economy .",174
"At first , all goods arriving by sea or being sent by sea had to be carried by porters between LÃ opoldville and LOCATION@1 , the port below the rapids and NUMBER@1 k from the coast .","At first , all goods arriving by sea or being sent by sea had to be carried by porters between LÃ opoldville and LOCATION@2 .",175
"In the autumn of 1923 , Powell went up to Balliol College , Oxford .",Powell went to Balliol College at the University of Oxford to study history in the autumn of 1923 .,178
"These included the ORGANIZATION@1 , ORGANIZATION@2 , ORGANIZATION@3 and ORGANIZATION@4 , ORGANIZATION@5 , ORGANIZATION@6 , and the ORGANIZATION@7 and Design .","These included the ORGANIZATION@8 , ORGANIZATION@9 , ORGANIZATION@10 , and the ORGANIZATION@11 .",179
"LOCATION@1 , formal designation NUMBER@1 LOCATION@1 , is the smallest identified dwarf planet in the Solar System and the only one in the asteroid belt .","LOCATION@1 -LRB- , -RRB- , also known as NUMBER@1 LOCATION@1 , is the smallest dwarf planet in the Solar System and the only one in the main asteroid belt .",181
"Bislama is a creole language , one of the official languages of Vanuatu .",Bislama is one of the three national languages of Vanuatu .,182
"For example , radio messages sent from Earth may never reach some regions of space , even if the universe would live forever ; space may expand faster than light can traverse it .","For example , radio messages sent from Earth may never reach some regions of space , even if the Universe would exist forever ; space may expand faster than light can traverse it .",184
The council elects the mayor and appoints elders to govern the elderships .,The elderates are governed by the elders . The elders are appointed by the municipal councils .,185
"The deepest point is in the Eurasian Basin , at .","The deepest point is in the Eurasian Basin , at",186
"For example , the previous emperor is usually called PERSON@1 in English , although he was never referred to as PERSON@1 in LOCATION@1 , and was renamed ShÅ wa TennÅ after his death , which is the only name that Japanese speakers currently use when referring to him .","For example , the previous emperor is usually called PERSON@1 in English , but after his death he was renamed ShÅ wa TennÅ and is now only called by this name in Japanese .",189
The sum of the measures of the three exterior angles -LRB- one for each vertex -RRB- of any triangle is 360 degrees .,A right triangle has one angle that is 90 degrees -LRB- a right angle -RRB- .,191
Phylogenetic analyses support Vitaceae as the sister-group to all other rosids -LRB- PERSON@1 et al . NUMBER@1 -RRB- .,Recent phylogenetic analyses support Vitaceae as the sister-group to all other rosids -LRB- PERSON@1 et al . NUMBER@1 -RRB- .,195
"ORGANIZATION@1 , although in LOCATION@1 , is actually located near LOCATION@2 and is easily accessible to LOCATION@3 residents via LOCATION@4 .",ORGANIZATION@1 is in LOCATION@1 but is close LOCATION@3 and is easy to get to by driving on Interstate NUMBER@1 .,196
"At the shallower end of the Vampire Squid 's vertical range , the view from below is like the sky at twilight : The highly sensitive eyes of deepwater denizens are able to distinguish the silhouettes of other animals moving overhead .","At the shallower end of the Vampire Squid 's vertical range , the view from below is like the sky at twilight : The highly sensitive eyes of deepwater dwellers are able to distinguish the silhouettes of other animals moving overhead .",197
"LOCATION@1 is a commune on the northern edge of the LOCATION@2 , capital of the LOCATION@3 département in LOCATION@4 .","LOCATION@1 , LOCATION@3 is a commune of the Pyrénées - Atlantiques département in the southwestern part of LOCATION@4 .",198
"The Fiat 500 is a car produced by the Fiat company of Italy between 1957 and 1975 , with limited production of the Fiat 500 K estate continuing until 1977 .",The Fiat 500 is a car produced by the Fiat company of Italy between 1957 and 1975 .,199
"Robert Peck then elected to return to Hingham , Norfolk , and resumed as rector of St Andrews Church .","At that time , Robert Peck decided to return to Hingham , Norfolk , and continued his pastorship of St. Andrews Church .",200
"During this second venture , Scott led a party of five which reached the South Pole on 17 January 1912 , only to find that they had been preceded by Roald Amundsen 's Norwegian expedition .","During this second venture , Scott led a party of five which reached the South Pole on 17 January 1912 , only to find that Roald Amundsen 's Norwegian expedition had got there first .",203
"The ORGANIZATION@1 -LRB- , Demokratska stranka , -RRB- is a political party in LOCATION@1 .","The ORGANIZATION@1 -LRB- , Demokratska stranka , -RRB- is the main center-left political party in LOCATION@1 .",205
"Prior to its inception as the capital city , the title had alternated between the cities of LeÃ n and LOCATION@1 .","Before NUMBER@1 , LeÃ n and LOCATION@1 were the capital cities .",206
"Fermentation of lactose by these bacteria produces lactic acid , which acts on milk protein to give yoghurt its texture and its characteristic tang .",Lactic acid acts on the protein in the milk to make yoghurt thick and sour .,207
"By contrast , the principal generation phase in non-vascular plants is usually the gametophyte , which is haploid with one set of chromosomes per cell .","In vascular plants , the principal generation phase is the sporophyte , which is diploid with two sets of chromosomes per cell .",209
The Soviets would go on to win more medals than any other nation at these Games .,They immediately showed their strength by winning more medals than any other nation .,212
"In 2005 , Mirza reached the third round of the Australian Open , losing to eventual champion Serena Williams .","In 2005 , Mirza reached the third round of the Australian Open , losing to the champion Serena Williams .",213
"Mega Man 8 , known as in Japan , is a video game released by Capcom in 1996 and 1997 for the PlayStation and the Sega Saturn .","Mega Man 8 , known in Japan as , is a platform video game made by Capcom for the PlayStation and Sega Saturn game consoles .",214
Saint-Hymer is a commune in the Calvados department in the Basse-Normandie region in northern France .,It is found in the region Basse-Normandie in the Calvados department in the northwest of France .,215
Dukas 's use of rhythm and his skill as an orchestrator can be seen in both the Symphony in C and the The Sorcerer 's Apprentice .,Dukas 's use of rhythm and his skill in wrting for orchestras can be seen in both the Symphony in C and the The Sorcerer 's Apprentice .,218
Castillon-la-Bataille is a commune in the LOCATION@1 department in LOCATION@2 in south-western LOCATION@3 .,Castillon-la-Bataille is a commune . It is found in the region LOCATION@2 in the LOCATION@1 department in the southwest of LOCATION@3 .,219
"The Accra Riots in 1948 launched the Ghanaian campaign for independence , which led to the Ghana 's independence from the United Kingdom and nationhood in 1957 .",This led to the Ghana 's independence from the United Kingdom and it becoming a country in 1957 .,220
